ticker,yahoo_ticker,country,company,sector
CORE A,CORE-A.ST,Sweden,Corem Property A,
CORE B,CORE-B.ST,Sweden,Corem Property B,
CORE D,CORE-D.ST,Sweden,Corem Property D,
CORE PREF,COREPREF.ST,Sweden,Corem Property Pref,
CLBIO,CLBIO.ST,Sweden,Corline Biomedical,
CRAD B,CRAD-B.ST,Sweden,C-RAD,
CRED A,CRED-A.ST,Sweden,Creades,
CRET,CRET.ST,Sweden,Creturner,
CRWN,CRWN.ST,Sweden,Crown Energy,
CFISH,CFISH.ST,Sweden,Crunchfish,
CTEK,CTEK.ST,Sweden,CTEK,
CTT,CTT.ST,Sweden,CTT Systems,
CURAS,CURAS.CO,Denmark,Curasight,
CYB1,CYB1.ST,Sweden,Cyber Security 1,
CYCLE,CYCLE.ST,Sweden,Cyclezyme,
CYVIZ,CYVIZ.OL,Norway,Cyviz,
DNORD,DNORD.CO,Denmark,D/S Norden,
DE,DE.ST,Sweden,Dala Energi,
DANCAN,DANCAN.CO,Denmark,Dancann Pharma,
DAC,DAC.CO,Denmark,Danish Aerospace,
DAB,DAB.CO,Denmark,Danske Andelskassers,
DANSKE,DANSKE.CO,Denmark,Danske Bank,
DANT,DANT.CO,Denmark,Dantax,
DATA,DATA.CO,Denmark,Dataproces,
DEDI,DEDI.ST,Sweden,Dedicare,
DVD,DVD.OL,Norway,Deep Value Driller,
DELIA,DELIA.OL,Norway,Dellia Group,
DEMANT,DEMANT.CO,Denmark,Demant,
DSNO,DSNO.ST,Sweden,Desenio,
DSRT,DSRT.OL,Norway,Desert Control,
DETEC,DETEC.HE,Finland,Detection,
DEVP B,DEVP-B.ST,Sweden,DevPort,
DVYSR,DVYSR.ST,Sweden,Devyser Diagnostics,
DEX,DEX.ST,Sweden,DexTech Medical,
DFDS,DFDS.CO,Denmark,DFDS,
DIAH,DIAH.ST,Sweden,Diadrom,
DMYD B,DMYD-B.ST,Sweden,Diamyd Medical,
DICOT,DICOT.ST,Sweden,Dicot Pharma,
DIGIA,DIGIA.HE,Finland,Digia,
DWF,DWF.HE,Finland,Digital Workforce,
DIGIGR,DIGIGR.HE,Finland,Digitalist Group,
DIST,DIST.ST,Sweden,DistIT,
DMXSE SDB,DMXSESDB.ST,Sweden,District Metals,
DIV B,DIV-B.ST,Sweden,Dividend Sweden,
DIVIO B,DIVIO-B.ST,Sweden,Divio Technologies,
DIOS,DIOS.ST,Sweden,Diös Fastigheter,
DJUR,DJUR.CO,Denmark,Djurslands Bank,
DLAB,DLAB.ST,Sweden,Dlaboratory,
DNB,DNB.OL,Norway,DNB Bank,
DNO,DNO.OL,Norway,DNO,
DOFG,DOFG.OL,Norway,DOF Group,
DDRIL,DDRIL.OL,Norway,Dolphin Drilling,
DOM,DOM.ST,Sweden,Dometic,
DONE,DONE.ST,Sweden,Done.ai,
DONKEY,DONKEY.CO,Denmark,DonkeyRepublic,
DORO,DORO.ST,Sweden,Doro,
DBP B,DBP-B.ST,Sweden,Double Bond Pharma,
DOV1V,DOV1V.HE,Finland,Dovre,
DOXA,DOXA.ST,Sweden,Doxa,
DRIL,DRIL.ST,Sweden,Drillcon,
DSV,DSV.CO,Denmark,DSV,
DUELL,DUELL.HE,Finland,Duell,
DUG,DUG.ST,Sweden,Dug Foodtech,
DUNI,DUNI.ST,Sweden,Duni,
DURC B,DURC-B.ST,Sweden,Duroc,
DUST,DUST.ST,Sweden,Dustin Group,
DYVOX,DYVOX.ST,Sweden,Dynavox Group,
EAGLE,EAGLE.HE,Finland,Eagle Filters,
EAM,EAM.OL,Norway,EAM Solar,
EAST,EAST.ST,Sweden,Eastnine,
EASY B,EASY-B.ST,Sweden,EasyFill,
EATG,EATG.ST,Sweden,EatGood,
ECC B,ECC-B.ST,Sweden,Ecoclime,
ECOMB,ECOMB.ST,Sweden,ECOMB,
ECO B,ECO-B.ST,Sweden,EcoRub,
ECOUP,ECOUP.HE,Finland,EcoUp,
EDYOU,EDYOU.ST,Sweden,Edyoutec,
ALBERT,ALBERT.ST,Sweden,eEducation Albert,
EEZY,EEZY.HE,Finland,Eezy,
EFFH,EFFH.ST,Sweden,Effnetplattformen,
EGTX,EGTX.ST,Sweden,Egetis Therapeutics,
EGNETY,EGNETY.CO,Denmark,EgnsINVEST,
EIOF,EIOF.OL,Norway,Eidesvik Offshore,
ELAN B,ELAN-B.ST,Sweden,Elanders,
ELEAV,ELEAV.HE,Finland,Elecster,
SX651010PI,SX651010PI.ST,Sweden,Electricity,
ELUX A,ELUX-A.ST,Sweden,Electrolux A,
ELUX B,ELUX-B.ST,Sweden,Electrolux B,
EPRO B,EPRO-B.ST,Sweden,Electrolux Professional B,
EMGS,EMGS.OL,Norway,Electromagnetic Geoservices,
SX502020PI,SX502020PI.ST,Sweden,Electronic Equipment,
EKTA B,EKTA-B.ST,Sweden,Elekta,
ELIMP,ELIMP.OL,Norway,Elektroimportoren,
ELIC,ELIC.ST,Sweden,Elicera Therapeutics,
ELISA,ELISA.HE,Finland,Elisa,
ELK,ELK.OL,Norway,Elkem,
ELABS,ELABS.OL,Norway,Elliptic Laboratories,
