ticker,yahoo_ticker,country,company,sector,borsdata_ticker,ins_id
ALNG,ALNG.OL,Norway,Awilco LNG,,ALNG,1159.0
AVSALT,AVSALT.ST,Sweden,Avsalt Group,,AVSALT,2151.0
AVT B,AVT-B.ST,Sweden,Avtech,,AVT B,264.0
ACR,ACR.OL,Norway,Axactor,,ACR,1088.0
AXFO,AXFO.ST,Sweden,Axfood,,AXFO,24.0
AXIC A,AXIC-A.ST,Sweden,aXichem,,AXIC A,369.0
AXOLOT,AXOLOT.ST,Sweden,Axolot Solutions,,AXOLOT,1754.0
AIX,AIX.OL,Norway,Ayfie,,AIX,1955.0
BTC B,BTC-B.ST,Sweden,B Treasury Capital,,BTC B,2595.0
B2I,B2I.OL,Norway,B2 Impact,,B2I,1343.0
B3,B3.ST,Sweden,B3 Consulting,,B3,1313.0
BACTI B,BACTI-B.ST,Sweden,Bactiguard,,BACTI B,377.0
BACTIQ,BACTIQ.CO,Denmark,BactiQuant,,BACTIQ,2074.0
BAHN B,BAHN-B.ST,Sweden,Bahnhof,,BAHN B,520.0
BAKKA,BAKKA.OL,Norway,Bakkafrost,,BAKKA,969.0
BALCO,BALCO.ST,Sweden,Balco Group,,BALCO,1517.0
BALT,BALT.OL,Norway,Baltic Sea Properties,,BALT,1597.0
BUSER,BUSER.ST,Sweden,Bambuser,,BUSER,1450.0
BO,BO.CO,Denmark,Bang & Olufsen,,BO,1029.0
SX3010PI,SX3010PI.ST,Sweden,Banks,,SX3010PI,1997.0
BARRA,BARRA.OL,Norway,Barramundi,,BARRA,2264.0
SX5510PI,SX5510PI.ST,Sweden,Basic Resources,,SX5510PI,2467.0
BAVA,BAVA.CO,Denmark,Bavarian Nordic,,BAVA,1190.0
BAWAT,BAWAT.ST,Sweden,Bawat Water,,BAWAT,2376.0
BEGR,BEGR.ST,Sweden,BE Group,,BEGR,27.0
BEAMMW B,BEAMMW-B.ST,Sweden,BeammWave,,BEAMMW B,2373.0
BEIA B,BEIA-B.ST,Sweden,Beijer Alma,,BEIA B,29.0
BEIJ B,BEIJ-B.ST,Sweden,Beijer Ref,,BEIJ B,28.0
BEO SDB,BEOSDB.ST,Sweden,Beowulf Mining,,BEO SDB,494.0
BCS,BCS.OL,Norway,Bergen Carbon,,BCS,2162.0
BERG B,BERG-B.ST,Sweden,Bergman & Beving,,BERG B,26.0
BERNER B,BERNER-B.ST,Sweden,Berner Industrier,,BERNER B,436.0
BESQAB,BESQAB.ST,Sweden,Besqab,,BESQAB,2197.0
BESQAB PREF B,BESQAB-PREF-B.ST,Sweden,Besqab Pref B,,BESQAB PREF B,2063.0
BETOLAR,BETOLAR.HE,Finland,Betolar,,BETOLAR,2339.0
BETS B,BETS-B.ST,Sweden,Betsson,,BETS B,32.0
BETCO,BETCO.ST,Sweden,Better Collective,,BETCO,1694.0
BETCO DKK,BETCODKK.CO,Denmark,Better Collective,,BETCO DKK,2520.0
BEWI,BEWI.OL,Norway,BEWi,,BEWI,1965.0
BEYOND,BEYOND.ST,Sweden,Beyond Frames,,BEYOND,1770.0
BHG,BHG.ST,Sweden,BHG Group,,BHG,1677.0
BIBB,BIBB.ST,Sweden,BiBBInstruments,,BIBB,1553.0
BICO,BICO.ST,Sweden,BICO Group,,BICO,1376.0
BIEN,BIEN.OL,Norway,Bien Sparebank,,BIEN,2493.0
BILI A,BILI-A.ST,Sweden,Bilia,,BILI A,33.0
BILL,BILL.ST,Sweden,Billerud,,BILL,34.0
BIM,BIM.ST,Sweden,BIMobject,,BIM,389.0
BINERO,BINERO.ST,Sweden,Binero Group,,BINERO,299.0
BIOA B,BIOA-B.ST,Sweden,BioArctic,,BIOA B,1538.0
BIOEX,BIOEX.ST,Sweden,Bioextrax,,BIOEX,1933.0
BIOF,BIOF.ST,Sweden,Biofrigas,,BIOF,1939.0
BIOG B,BIOG-B.ST,Sweden,BioGaia,,BIOG B,35.0
BIOBV,BIOBV.HE,Finland,Biohit,,BIOBV,815.0
BINV,BINV.ST,Sweden,Bioinvent,,BINV,36.0
BIOPOR,BIOPOR.CO,Denmark,BioPorto,,BIOPOR,1221.0
BRETEC,BRETEC.HE,Finland,Bioretec,,BRETEC,2259.0
BIOSGN,BIOSGN.ST,Sweden,Biosergen,,BIOSGN,2210.0
BIOVIC B,BIOVIC-B.ST,Sweden,Biovica,,BIOVIC B,1429.0
BIOWKS,BIOWKS.ST,Sweden,Bio-Works,,BIOWKS,1577.0
BITTI,BITTI.HE,Finland,Bittium,,BITTI,716.0
BORG,BORG.ST,Sweden,Björn Borg,,BORG,38.0
BSP,BSP.OL,Norway,Black Sea Property,,BSP,1183.0
BLICK,BLICK.ST,Sweden,Blick Global,,BLICK,442.0
BLUE,BLUE.ST,Sweden,Bluelake Mineral,,BLUE,1394.0
BNOR,BNOR.OL,Norway,Bluenord,,BNOR,1092.0
SHIP,SHIP.ST,Sweden,BlueYield,,SHIP,2582.0
BODY,BODY.ST,Sweden,Bodyflight,,,
BOHO,BOHO.ST,Sweden,Boho Group,,BOHO,1520.0
BOHO PREF,BOHOPREF.ST,Sweden,Boho Group Pref,,BOHO PREF,1349.0
BOKUS,BOKUS.ST,Sweden,Bokusgruppen,,BOKUS,2173.0
BOL,BOL.ST,Sweden,Boliden,,BOL,40.0
BOMILL,BOMILL.ST,Sweden,BoMill,,BOMILL,2006.0
BONAV A,BONAV-A.ST,Sweden,Bonava A,,BONAV A,1606.0
BONAV B,BONAV-B.ST,Sweden,Bonava B,,BONAV B,1325.0
BONEX,BONEX.ST,Sweden,Bonesupport,,BONEX,1474.0
BONG,BONG.ST,Sweden,Bong Ljungdahl,,BONG,41.0
BONHR,BONHR.OL,Norway,Bonheur,,BONHR,1006.0
BONAS,BONAS.ST,Sweden,Bonäsudden,,BONAS,779.0
BOOZT,BOOZT.ST,Sweden,Boozt,,BOOZT,1463.0
BOOZT DKK,BOOZTDKK.CO,Denmark,Boozt,,BOOZT DKK,2036.0
BOREO,BOREO.HE,Finland,Boreo,,BOREO,838.0
BOR,BOR.OL,Norway,Borgestad,,BOR,1049.0
BRG,BRG.OL,Norway,Borregaard,,BRG,1050.0
BOTX,BOTX.ST,Sweden,Botnia Gold,,BOTX,508.0
BOUL,BOUL.ST,Sweden,Boule Diagnostics,,BOUL,244.0
BOUV,BOUV.OL,Norway,Bouvet,,BOUV,1132.0
BPCINS,BPCINS.ST,Sweden,BPC Instruments,,BPCINS,2334.0
BRAINP,BRAINP.CO,Denmark,Brain+,,BRAINP,2277.0
BRAIN,BRAIN.ST,Sweden,BrainCool,,BRAIN,446.0
BRAV,BRAV.ST,Sweden,Bravida,,BRAV,909.0
KLEE B,KLEE-B.CO,Denmark,Brd. Klee,,KLEE B,1224.0
AOJ B,AOJ-B.CO,Denmark,Brdr. A&O Johansen,,AOJ B,1225.0
BRE2,BRE2.ST,Sweden,Bredband2,,BRE2,268.0
BRIGHT,BRIGHT.ST,Sweden,BrightBid,,BRIGHT,421.0
BRILL,BRILL.ST,Sweden,Brilliant Future,,BRILL,2204.0
BRIN B,BRIN-B.ST,Sweden,Brinova Fastigheter,,BRIN B,42.0
BRIX,BRIX.ST,Sweden,Briox,,BRIX,586.0
BMC,BMC.ST,Sweden,Brock Milton Capital,,BMC,2574.0
BIF,BIF.CO,Denmark,Brondbyernes IF,,BIF,1227.0
BRUT,BRUT.OL,Norway,Bruton,,BRUT,2565.0
BTS B,BTS-B.ST,Sweden,BTS Group,,BTS B,43.0
BBROOM,BBROOM.ST,Sweden,Bubbleroom,,BBROOM,2308.0
BUFAB,BUFAB.ST,Sweden,Bufab,,BUFAB,375.0
BULTEN,BULTEN.ST,Sweden,Bulten,,BULTEN,254.0
BURE,BURE.ST,Sweden,Bure Equity,,BURE,44.0
BWE,BWE.OL,Norway,BW Energy Limited,,BWE,1927.0
BWLPG,BWLPG.OL,Norway,BW LPG,,BWLPG,885.0
BWO,BWO.OL,Norway,BW Offshore Limited,,BWO,1051.0
BMA,BMA.OL,Norway,Byggma,,BMA,1133.0
BMAX,BMAX.ST,Sweden,Byggmax,,BMAX,45.0
AJA B,AJA-B.ST,Sweden,Byggmästare AJ Ahlström,,AJA B,598.0
BYGGP,BYGGP.ST,Sweden,Byggpartner,,BYGGP,1379.0
BESS,BESS.ST,Sweden,Byhmgard,,BESS,764.0
C100,C100.ST,Sweden,C100,,C100,2399.0
CADLR,CADLR.OL,Norway,Cadeler,,CADLR,2038.0
CAG,CAG.ST,Sweden,CAG Group,,CAG,1775.0
CALVIK,CALVIK.ST,Sweden,Calviks,,CALVIK,2397.0
CAMBI,CAMBI.OL,Norway,Cambi,,CAMBI,2086.0
CAMX,CAMX.ST,Sweden,Camurus,,CAMX,921.0
CANATU,CANATU.HE,Finland,Canatu,,CANATU,2283.0
CANDLE B,CANDLE-B.ST,Sweden,Candles Scandinavia,,CANDLE B,2296.0
CANTA,CANTA.ST,Sweden,Cantargia,,CANTA,748.0
CAPMAN,CAPMAN.HE,Finland,CapMan,,CAPMAN,796.0
CAPSL,CAPSL.OL,Norway,Capsol Technologies,,CAPSL,2353.0
CARA,CARA.ST,Sweden,Carasent,,CARA,1127.0
CRBX,CRBX.ST,Sweden,Carbiotix,,,
CARDEO,CARDEO.ST,Sweden,Cardeon,,CARDEO,1693.0
CARE,CARE.ST,Sweden,Careium,,CARE,2319.0
CARL A,CARL-A.CO,Denmark,Carlsberg A,,CARL A,1655.0
CARL B,CARL-B.CO,Denmark,Carlsberg B,,CARL B,890.0
CASE,CASE.ST,Sweden,Case Group,,CASE,2335.0
CAST,CAST.ST,Sweden,Castellum,,CAST,46.0
CAT A,CAT-A.ST,Sweden,Catella A,,CAT A,1607.0
CAT B,CAT-B.ST,Sweden,Catella B,,CAT B,274.0
CATE,CATE.ST,Sweden,Catena,,CATE,47.0
CTM,CTM.ST,Sweden,Catena Media,,CTM,984.0
CAVEN,CAVEN.OL,Norway,Cavendish Hydrogen,,CAVEN,2535.0
CCC,CCC.ST,Sweden,Cavotec,,CCC,248.0
CBRAIN,CBRAIN.CO,Denmark,cBrain,,CBRAIN,1228.0
CDON,CDON.ST,Sweden,CDON,,CDON,2023.0
CEDER,CEDER.ST,Sweden,Cedergrenska,,CEDER,2148.0
CI,CI.ST,Sweden,Cell Impact,,CI,387.0
