action_baseline,k_baseline,ticker_baseline,company_baseline,quality_score_baseline,mos_baseline,mode_baseline,period,date_baseline,ret_baseline,action_change1_quality,k_change1_quality,ticker_change1_quality,company_change1_quality,quality_score_change1_quality,mos_change1_quality,mode_change1_quality,date_change1_quality,ret_change1_quality,action_change2_value,k_change2_value,ticker_change2_value,company_change2_value,quality_score_change2_value,mos_change2_value,mode_change2_value,date_change2_value,ret_change2_value,action_v2,k_v2,ticker_v2,company_v2,quality_score_v2,mos_v2,mode_v2,date_v2,ret_v2
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-10,2013-10-31,0.08743771931467226,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-10-31,0.08743771931467226,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-10-31,0.08743771931467226,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-10-31,0.08743771931467226
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-11,2013-11-29,0.03230356901294984,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-11-29,0.03230356901294984,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-11-29,0.03230356901294984,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-11-29,0.03230356901294984
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2013-12,2013-12-30,0.07721082481171804,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2013-12-30,0.07721082481171804,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2013-12-30,0.07721082481171804,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2013-12-30,0.07721082481171804
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-01,2014-01-31,0.027210884353741527,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-01-31,0.027210884353741527,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-01-31,0.027210884353741527,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-01-31,0.027210884353741527
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-02,2014-02-28,-0.08609271523178808,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-02-28,-0.08609271523178808,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-02-28,-0.08609271523178808,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-02-28,-0.08609271523178808
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-03,2014-03-31,-0.036231884057971064,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-03-31,-0.036231884057971064,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-03-31,-0.036231884057971064,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-03-31,-0.036231884057971064
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2014-04,2014-04-30,0.11688329187584134,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2014-04-30,0.11688329187584134,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2014-04-30,0.11688329187584134,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2014-04-30,0.11688329187584134
BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,baseline,2014-05,2014-05-30,0.031419752742225526,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change1_quality,2014-05-30,0.031419752742225526,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,change2_value,2014-05-30,0.031419752742225526,BUY,PNDORA,PNDORA,Pandora,0.05858853083229293,0.4455838348518979,v2,2014-05-30,0.031419752742225526
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-06,2014-06-30,0.02127659574468077,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-06-30,0.02127659574468077,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-06-30,0.02127659574468077,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-06-30,0.02127659574468077
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2014-07,2014-07-31,-0.01388888888888884,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2014-07-31,-0.01388888888888884,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2014-07-31,-0.01388888888888884,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2014-07-31,-0.01388888888888884
