dataset,market,ins_id,file_path,status,rows,fetched_at,attempts,last_error,source
prices,NO,1141,prices__NO__1141.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1142,prices__NO__1142.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1143,prices__NO__1143.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1146,prices__NO__1146.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1148,prices__NO__1148.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1155,prices__NO__1155.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1156,prices__NO__1156.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1159,prices__NO__1159.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1160,prices__NO__1160.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1162,prices__NO__1162.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1163,prices__NO__1163.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1165,prices__NO__1165.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1169,prices__NO__1169.parquet,ok,2517,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1170,prices__NO__1170.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1171,prices__NO__1171.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1173,prices__NO__1173.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1175,prices__NO__1175.parquet,ok,2519,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1176,prices__NO__1176.parquet,ok,2517,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1177,prices__NO__1177.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1178,prices__NO__1178.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1180,prices__NO__1180.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1181,prices__NO__1181.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1183,prices__NO__1183.parquet,ok,2519,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1184,prices__NO__1184.parquet,ok,2518,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1339,prices__NO__1339.parquet,ok,2453,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1343,prices__NO__1343.parquet,ok,2516,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1344,prices__NO__1344.parquet,ok,2516,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1351,prices__NO__1351.parquet,ok,2423,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1533,prices__NO__1533.parquet,ok,2225,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1536,prices__NO__1536.parquet,ok,1666,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1582,prices__NO__1582.parquet,ok,2098,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1590,prices__NO__1590.parquet,ok,2305,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1592,prices__NO__1592.parquet,ok,2184,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1593,prices__NO__1593.parquet,ok,2191,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1595,prices__NO__1595.parquet,ok,2056,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1597,prices__NO__1597.parquet,ok,2069,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1651,prices__NO__1651.parquet,ok,2510,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1652,prices__NO__1652.parquet,ok,2510,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1653,prices__NO__1653.parquet,ok,2510,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1682,prices__NO__1682.parquet,ok,1985,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1683,prices__NO__1683.parquet,ok,1987,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1684,prices__NO__1684.parquet,ok,1984,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1705,prices__NO__1705.parquet,ok,1951,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1706,prices__NO__1706.parquet,ok,1977,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1707,prices__NO__1707.parquet,ok,1919,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1731,prices__NO__1731.parquet,ok,1915,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1732,prices__NO__1732.parquet,ok,1917,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1736,prices__NO__1736.parquet,ok,1878,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1747,prices__NO__1747.parquet,ok,1854,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1767,prices__NO__1767.parquet,ok,1826,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1849,prices__NO__1849.parquet,ok,1696,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1850,prices__NO__1850.parquet,ok,1689,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1857,prices__NO__1857.parquet,ok,1681,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1858,prices__NO__1858.parquet,ok,1677,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1859,prices__NO__1859.parquet,ok,1679,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1871,prices__NO__1871.parquet,ok,1661,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1880,prices__NO__1880.parquet,ok,1591,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1885,prices__NO__1885.parquet,ok,1588,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1889,prices__NO__1889.parquet,ok,1576,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1890,prices__NO__1890.parquet,ok,1580,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1895,prices__NO__1895.parquet,ok,1557,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,1927,prices__NO__1927.parquet,ok,1508,2026-02-20T08:37:23.636157+00:00,1,,api
